,text,time,hashed_value
791,@TravisLegge Rubiks cubes can suck my non existant dick. I've never been able to finish ONE ,,
792,This song is upsetting me way too much. I cant stop listening to it when Im on the computer and I cant get it out of my head when Im not. ,,
793,i'm missin' sour sallyy!! ,,
794,@macbella2 a month I think ,,
795,"@uncouthamerican but they're knocking down the old part of it, gaaah do planners never learn ",,
796,I'm nervous that I may have messed up my 100 average ,,
797,@nkdaydreamer I've been up since 6 and not getting to bed tonight til gone midnight. I can't function as a boss being up 18 hrs ,,
798,is wondering if her hubby is dying in this heat? poor guy ,,
799,@katiejconway  leaving me yet again.,,
800,What awful punishment as soon as I got the all stools sold out page Circus came on the radio.  Sold out in freakin 3 Mins!,,
801,"@smileylady seeing the blue sky is torturous..and then don't u know it,come wkend it'll rain ",,
802,@jennyhanny i can't find lawn seats for blink 182.... ,,
803,@ehrenc ouch you hurt my feelings! but I really had no energy to talk yesterday ,,
804,"waht a bad day, but the wetter is hot ",,
805,i miss him so much  what is going on with him?,,
806,I miss my straightener. ,,
807,i didn't win tickets for the harry potter tour in holland. ,,
808,"@afterworkinc he cant go anywhere .. he is on lockdown. no travel, sux  @projectzeroent u better be there! i have 2 make up 4 yesternight ",,
809,ccmulan q neun.....sna mayari q s saturday :'-( iReallyMissHim (tears) langan gawin for mmrz )  http://plurk.com/p/13weiz,,
810,Is back home for the first time this week. I miss DJ. It feels different to be in bed alone now. ,,
811,@JamesParrish I can see outside from my office window. It's not the same  I am jealous x,,
812,is not having a good night ,,
813,just realized that zoneedit was down since yesterday!! that's the reason why i did not receive any mail ,,
814,@superchou i am aware ,,
815,@jennihof OH goodness that is awful. ,,
816,@Tay_Tay305 WHERE YU BEEN AT BOO??? YU DONT DM ME OR NOTHING  ,,
817,Now I see why people like to drink just washes all worries away. 2 bad the pain is still there afterwards  Miss her you forever Tee,,
818,"I won't sleep today, I'll study study and study! ",,
819,my charger is messing up  shucks!,,
820,Trying to get the damn website to load so I can get tix to vfest as well....My computer is slow! ,,
821,just looked at the line up and theres no McFly ,,
822,"Crap. I just realized, after it is now empty, that I have been using non fat-free Coffeemate all week. ",,
823,"Ive been reading steampunk webcomics for the last 2 hours. got to get my life right, visiting the baby + @FriendCatcher missingladydjnite ",,
824,@RocknRollPhotog yes  my life suxxx,,
825,Drinking French Vanilla coffee @ work.Have to pack clothes 2night 4 my roady 2mrw.I dont want to leave @sneeke04.I want him to come with ,,
826,its cold  i think ima go back to sleep coz i need to go to school but i feel sick ,,
827,@rebecca8888 im leavin nw lol cn u plzzz bring hayfevr tablets!! I 4gt agen! &amp;no cred 2txt u!  x,,
828,I HAVE TO SAY LOSING SOMEONE SPECIAL NEVER GETS EASIER.AS WILD HOUND DOG WOULD SAY BARK BARK.HELL I DONT KNOW WHAT THAT MEANS   ,,
829,my ponytail has been threatened and someone told me if they got a hold to it it would be set in a blaze ,,
830,"Think I'm going to have to go to a doctor today, shoulder is killing me, and it's my spanking arm ",,
831,wowow!!! i can't believe that i'm not going to flordia anymore. i'm so so so sad  but at least we get to go to six flgs on da 4 of july!!!,,
832,lame work for 7 hours!! ,,
833,@calvinography Whose playing atm? I'm on a train and no tv ,,
834,"At work, such a nice day, wish I was out driving my 69 Mach 1 Mustang ",,
835,the NBA draft is finally here..today it will cut into my nape time..  but its worth it to say the least. off to get ready for work..,,
836,im frustrated with this place. how does it work? will I ever know? Do I already know and this is it? ,,
837,I have NO signal @ this place! I have to go outside to send a message. ,,
838,I'm so ready for the weekend. ,,
839,Jury duty  hope its at least a good case!,,
840,Met @deeptialla at fc today. Her arrival saved me &amp; sowmya frm  some of d pj's @horrormeister was crackin. She left &amp; he took ovr agn ,,
841,Just got out of work. At school now. Going back to work afterwards. ,,
842,http://twitpic.com/8de3z - i tried to make it look like a football pitch haha!. Bored of harry potter ,,
843,"Going to listen to All time Low, The Academy Is..., Fall Out Boy, Panic At The Disco, and 3OH!3 while on tan. But not my back it's burnt. ",,
844,doesnt feel well someone come take care of me please?? ,,
845,RIP Prof Phillips  I wish I had the chance to actually take your class.,,
846,"wrote to Music Jam after a long time. But, sadly, they didn't even bother to read it ",,
847,Just waiting for everyone to wake up so I can stop talking to myself  http://myloc.me/5ASd,,
848,@PanaJ. Awwhhh I wanna go  but I gotta to 2 VA this weekend Tell her Happy Bday for ME,,
849,"@cozmosis nah, just kidding, say what's so special about bilingualism? I myself am bilingual and I feel it might never be enough ",,
850,Got a parking ticket yesterday   The roof is being fixed. A neighbor called in and complained. Going to try to get out of it later today.,,
851,I have to go to school today? ,,
852,Mmm #identica seems a bit broken after the upgrade ,,
853,"@Jedi_Amara I would go if I could, really  Good night xox",,
854,@MajorProblem  That sounds so good. You are evil. Next time keep that info to yourself. Sigh...,,
855,http://twitpic.com/8de4k - we had a contest to see who could hold water in their mouth the longest lol...i miss them ,,
856,"10% battery remaining on iTouch.. No music... No twitter., no faceboook ",,
857,@ricksva Day-long teaching admin meeting ,,
858,@FemiThompson I feel as though I am the only one that has not seen that movie yet ,,
859,I'm such a wimp  I hate sleeping in my bed for the first time alone after I move it around... -shakes-,,
860,wants cuddles ,,
861,dll coding ,,
862,can't go anyways theres no tickets left  ,,
863,@iampolariis I would if I wasn't where I am ,,
864,"Gonna be a long day of tattooing, St. Vincent show, and birthdays. Wish I felt better. ",,
865,@Stagehouse oh my god! I didn't know. I'm so so sorry. Your Gabriel looked absolutely lovey and beautiful.   I am so sad for you...,,
866,@tweetdiane But didn't have any memory left for One Song &amp; when I showed her the 1st 2 she asked 2 watch One Song.   I'm a failure lol,,
867,I need to mow my lawn before the PAR-tay.   I hate mowing.,,
868,"after 1000000 iterations, all i get to see is a single hazy blob against a grey background... ",,
869,Finally thru and waiting to board the plane. Man I'm runnin off of like 2 hours sleep  holdin off on coffee till we land.,,
870,@moonfrye when I opened up my mouth within earshot of someone and said something I should have kept to myself ,,
871,"@tlockemy That sucks    Yea, our maid charges $65 and thats for 2 living rooms, 2 bathrooms, kitchen, common area floors/stairs...",,
872,3rd time on the pruple line someone has fallen asleep next to me and i've had to shoulder push them of of me ,,
873,Wants to see Transformers 2 but has no one to go with 2 see it ,,
874,vou ler shakespeare...  ,,
875,"@stickmoneybags Hey there! Thanks. this is the third time it is happening, so now I am finally going to the Dr. about it. ",,
876,Almost all the pink has washed out of my hair now ,,
877,@xlizziebx  btw vote for sophie http://bit.ly/xzADK and re-tweet it ;),,
878,Missing my Sunshine more and more every day ,,
879,I've got one more week to enjoy before college. DANNGG ,,
880,wow my rooms tidy :| haha:') Starving never had no breakfast or lunch boo  So much dust flying around hahah,,
881,@lauratownsend88 well done! is that cus they won't be as cheap lol! Lets see if it lasts when u have more exams wen u go bk ui ,,
882,@NeriG Nope! Stop harrassing Jon.. Haha. If they follow u nope u can't send a DM ,,
883,I don't think I was cut out for a 9-5... I need to be somebody's house wife and have some activities on the side for extra cash ,,
884,@StrBrght1130 I saw that your shit grew....mine didn't ,,
885,@MsMurdaMami haha what?! its going to be BAKING today  and crack (chipotle) on a hot day is never a good idea lol,,
886,Leaving dallas today  but coming back....different! Peace is necessary..,,
887,@yliesan I never got any. Huhuhuhuhuhuhu   everyone's are just to fast. Lol,,
888,@RachelOliv Yh it's nice.. Sorry my phone was out of battery so I couldn't tell you when I arrived  ahh you need to come with me to ny ,,
889,@kaddisfly what's wrong with 6pm? ,,
890,i am getting ready to go out but im so tired ,,
891,Love finding out that I have to work sat ,,
892,At work doing my math homework. ,,
893,im scared to look at my SAT scoressssssssssssss ughh; it's gonna ruin the wonderful mood that im innn ,,
894,@_scene_queen_ he punched glass and he has cuts and shit all over his hand! ,,
895,i want to go ayg what is this ugh so stupid ,,
896,wants rain.... neeed rain. My head hurts ,,
897,"fudding hell, surprise news from Fighting With Wire is genuinely surprising...bit shocked, and sad...was so looking forward to their set ",,
898,@MikeRuocco Wish I was gna be anywhere NEAR NYC cuz I would SO be there... unfortunately the bank account won't accommodate.   Come 2 STL!,,
899,"But then again, I'm trying to amuse myself with how the family pc can be really slow and very program-less. haha I don't even have YM ",,
900,@michalvitasek Se zÃ¡kladkou? JÃ¡ jsem nedÃ¡vno mÄl sraz po deseti letech od maturity ,,
901,@KTDP Ukh 3ad I never do ,,
902,wishes tomorrow will never come ,,
903,"@ChrisOlstrom and @danielstroud , @persiankiwi is on the run, hopefully. One of them was captured and they believe names may be revealed. ",,
904,At the docoter. ,,
905,At the doctors office ,,
906,No work for me. Doctor then back home to sleep this crap off. Oh i feel bad  al&lt;3,,
907,starting my morning with reading microsoft's outlook reply to the campaign looks like its futile ,,
908,"i want a cookie, but there is absolutely nothing of the sort in my house ",,
909,"Help us grow our facebook page, it only has 4 fans ",,
910,is not at glasto ,,
911,Got sick  but workout anyways :p can't give up now!,,
912,"The weather dude said the sun was going to come out today but, yet again no freakin sun. It's so depressing. ",,
913,"@chiniehdiaz Sometimes, it is! Now I feel bad about it. ",,
914,@x1n Totally. Loved the last few House eps of S05. Now the long wait to 06 ,,
915,is missing you badly  http://plurk.com/p/13wfvo,,
916,@kaylinstone ...10 days?  that's not very long.  ,,
917,@Karboso .. OMG! U were online forever!! I felt bad when I woke up this morning! I didn't know u were still online. I should've checked! ,,
918,"i've had nightmares of some kind every night this week, starting Sunday night. had a really scary one last night, couldn't sleep again ",,
919,such a pleasant day and i m in the office... ,,
920,eeek induction day!! ,,
921,@Monsteraisin NOOOOOOOOOOOOOOOOOOO....I jealous of your friend ,,
922,misses singapore much  can't wait to be back. 2 more days.,,
923,@xslverwingsx oh... im sorry claire..  .. but on the other side.. u should've taken a picture of that..,,
924,there is a dude playing roddick at wimbeldon right now and his name is kunitsyn... makes me think of my kuny ,,
925,@Mizzbehave193 Don't like the new pic ,,
926,"I miss all of my Thursday Meals Kitchen friends.  Mark, Erica, Nick, Sarah, Adam, Laura, Libby...I could go on. I miss all of them. ",,
927,ahh it's still sooo hot in here   hopefully they have the AC fixed at work today,,
928,@FiveLives it's Thursday! Because I work today. ,,
929,a or s? or stay? ,,
930,"hates kristin stewart's look on her new movie...  she looks like a freaking ZBZ nightmare... and that really doesn't look good, trust me.",,
931,@pdayco  I still feel bad I can't come.  Sorry dude.,,
932,@pw_official I'd love to come see you in Atlanta... but it's a ten hour drive and my parents aren't totally up for it ,,
933,should have slept in today...gonna be a long and rough day ,,
934,@DesignLitmus  I'm not even sure what that means... but OK ,,
935,Last day in colorado  it was everything expected and more. Leaving for home around 930 to 10 pm,,
936,Frizbee golf kills.  RIP WATER BOTTLE! ROFL Sweetest shot ever! Go me!,,
937,cookie = eated.  face = hurty ,,
938,@Melissica no only went to school on monday  -how r u?,,
939,@agingdragqueen I want a geeky fanbase ,,
940,WORKY TIMES bye byeee ,,
941,@Dr0ck I have no beef with RR. Just can't run a web server behind it ,,
942,Omg I think I'm dying ,,
943,ooooooooooooooow my tummy hirts ,,
944,My computer won't connect to internet have to sit @ sherry's desk til they get it fixed ,,
945,I have way too much stuff ,,
946,Went to the dentist this morning...clean teeth! But now my teeth and gums hurt   ,,
947,walking to work i realized my right foot is dramatically smaller than my left ,,
948,time to get finger re -broken ,,
949,"graduating today, ehhhh not very exiting  i shall miss school (but i hope they'll give me my art projects back :S)",,
950,@QZZ108 am i doing this right nowww? ,,
951,@katiebarber i cant reply to your DM cause u arent follwing me ,,
952,@ThomTheBomb its july 23 but i cant go bc i get home from FL that day  but we'll party sometime soon i promise,,
953,"@SuperDuperChic  keep us updated, I call mom with your updates",,
954,has crippled his right hand ,,
955,Suffering the whims of Sourcforge's (ahem) upgrades ,,
956,"I wish I have a cool old name. Like Emily Elizabeth Dickinson, or Edgar Allan Poe, or ANNE SEXTON.  But I'm stuck with Chai.",,
957,De retour de mon oral..... sick of french unconscious racism.... just admit it..... only one exam and I will be working at full time Yeah ,,
958,"feeling sick and wishing I could go home today.  But alas, it is payroll day so I may not leave.  ",,
959,"It's gonna be a long, miserable, frustrating, trying day. And i've still got 6.5 hours. ",,
960,@theaardvark Fixed! Some of the addresses don't work as it's difficult to isolate the postcode from the rest of the address ,,
961,@Shannonhochkins nah there not  but shaun said sumfin bout a huge tour at the end of the year including perth. Do you like it here? xx,,
962,The @htc Hero seems to be much like the iPhone 3G S -- more hype than there should be given the lack of new hardware functionality. ,,
963,"After 4 hours of sleep, I made myself a big strong cup of coffee to take to work, only to forget it on the counter at home ",,
964,well....just here woke up to do nuthing and was goinng to a party yeaterday just got sick which made me not want to go ,,
965,"@PerezHilton lol at your Sun extract, THAT true violence, you are just a screaming queen ",,
966,working @ the nailsalon ,,
967,ugh! headache ,,
968,@Gr1377 oh my god! poor guy! ,,
969,@SweetBrooke23 I wanna have cake too ,,
970,Jumped in the waterfall oh yeah ! Cold now though ,,
971,Xina misses her AEHQ. I missed my KXD ,,
972,"@Victoria__x I wasn't calling you silly.  Ok, byesie bye. xx",,
973,I'm running low on College Humor videos. HELP ME! ,,
974,"Wet Backs and Soaking Sheets, Oh My! http://a2a.me/NvA My new blog post about my repelling #clothdiapers ",,
975,"ahhhh home, now off to do some life chores ",,
976,Shuck my life!! 9 days! ,,
977,tomorrow gfs..I'm nervous ,,
978,@Frantheokovich HAHA!! GOOD  YOU'RE ON TWITTERR miss you too man!  ((,,
979,Received the letter from school and it says that exam time-table will be strictly adhered to. Upset  - http://tweet.sg,,
980,@D_Schaeff OMG well last Monday's episode they announced their divorce.. I actually was crying ,,
981,hey @peoplebrowsr why is my replies stack not working grrrrrrrr   ,,
982,will the other swimmers pretend with me? no? no?  oh ,,
983,i am ill atm  on twitter and looking at all ice hockey stuffage,,
984,oh god. i'm wearing the thinnest top ever and there's a decent breeze outside but it's still disgustingly hot and i want to die ,,
985,@imbenmills_wtf what a calamity! I'm working friday-sunday  need the money! I am in need of a party though!!,,
986,@85PrettyGirl my can't spell assets without ass! Actually I don't have much of an ass  oh well. The check still won't bounce.,,
987,@jjennuh really? thats kinda close to me haha. why arent you sitting with your friend? &amp;no- im from cincinnati but they arent coming here ,,
988,just talked to my baby! aww i miss him so much!!! ,,
989,@miss_charmed ok lang yun. quartz and the bf can't make it though. tapos the rest didn't reply. ,,
990,I wish I were somewhere else right now. Like a beach. Not effing school. 4 weeks left ,,
991,life-changing decisions ,,
992,@fanyechka But you must must be able to make it if not I will be sad  It was you and all your pjs that inspired teh partayyy.,,
993,Obviously not gonna make it to pilates ,,
994,"Everytime I hear &quot;Short Skirt, Long Jacket&quot; by Cake, I miss my LeBaron a lot ",,
995,bored out of my mind. want pizza but everywhere closed ,,
996,"@judyyiu iunderstand, i had to take after a poorly coded flash site at my old job. hated it. ",,
997,"Seems previous owner of our place has left us mo' rubble, mo' trouble: drains are clogged with all kinds of dirt.  Plumber tomorrow.",,
998,Working late in office ,,
